"IDNum","frag","dmg","spot","def","win"
1,0.95,470.33,1.31,1.02,54.85
17,1.02,513.45,1.41,1.05,54.45
33,1.24,579.12,1.48,1.2,55.73
49,0.9,1089.87,1.63,0.93,52.32
81,1.63,205.42,0.76,1.03,58.81
113,1.58,200.27,0.78,0.88,59.85
129,1.53,205.07,1.12,0.91,59.58
257,1.07,548.12,0.55,1.11,53.86
273,1.02,944.42,0.08,1.24,51.19
289,0.94,226.24,2.06,1.22,56.87
305,0.59,634.18,2.32,0.66,50.89
321,1.07,252.57,0.64,1.42,58.34
337,1.27,222.25,0.71,1.02,58.49
353,1.24,211.65,0.94,1.19,58.46
369,1.17,214.84,1.05,1.31,58.66
385,1.36,234.94,1.11,1.04,59.63
513,0.97,1009.84,0.97,0.8,53.24
529,0.93,1047.72,0.94,0.99,52.79
545,1.49,190.71,1.63,1.15,57.48
577,1.36,181.41,0.96,1.39,59.49
593,1.39,241.33,1.93,1.47,59.01
609,1.55,189.42,1,1.5,58.47
625,0.83,241.61,0.95,1.21,56.4
641,1.05,282.34,1.25,1.38,59.07
769,0.76,192.54,1.96,0.94,55.22
785,1.31,225.44,1.35,1.61,57.16
801,0.98,799.75,0.97,0.86,53.54
817,0.99,1309.21,1.31,0.72,52.78
833,1.31,222.43,0.11,1.71,56.85
849,1.21,472.28,0.77,1.67,57.29
865,1.32,231.13,1.28,1.21,58.19
881,0.88,336.34,1.05,1.13,55.24
897,0.98,372.17,1.22,1.08,55.93
1025,1.31,228.6,1.8,1.25,57.13
1041,1.09,566.99,0.72,1.26,53.77
1057,1.09,531.04,1.34,0.99,55.24
1073,0.92,921.46,1.41,0.93,53.8
1089,0.95,311.09,0.96,1.25,54.02
1105,1.07,739.13,1.91,0.99,55.14
1121,0.88,902.08,0.98,0.99,51.04
1137,0.86,493.23,1.42,1,53.53
1153,1,538.3,1.19,1.02,54.09
1281,1.25,657.37,1.24,1.15,56.07
1297,0.84,865.17,1.16,1.13,53.13
1313,0.93,655.93,1.36,1,54.73
1329,1.69,220.9,1.05,1.49,58.35
1345,1.32,221.82,0.95,1.94,58.71
1361,1.13,279.67,1.46,1.38,58.76
1377,0.88,468.53,1.14,0.96,53.46
1393,0.98,754.46,1.47,1.01,53.21
1409,1.05,809.4,1.13,1.05,54.33
1537,0.94,360.62,1.18,0.89,55.35
1553,0.95,677,0.72,1.07,52.13
1569,0.91,915.1,1.54,0.96,54.16
1585,0.8,1007.24,1.47,0.85,50.72
1601,1.23,205.93,0.65,1.99,60
1617,0.95,352.21,0.83,0.91,54.93
1633,0.9,335.73,1.12,0.97,54.88
1649,0.93,959.5,1.2,0.86,52.74
1665,0.98,973.14,1.32,0.91,53.58
1793,0.9,1180.05,0.05,0.76,50.89
1809,1.27,408.13,0.55,1.11,55.4
1825,1.5,250.59,2.23,1.44,58.95
1841,0.88,1410.66,1.35,0.7,50.74
1889,0.94,720.22,1.02,1.03,51.7
1905,0.8,1081.46,1.03,0.81,50.48
1921,1.13,1518.14,0.9,0.83,54.79
2049,0.67,247.97,2.08,0.79,55.48
2065,1.39,237.24,1.61,1.57,57.91
2081,1.21,228.18,0.32,1.83,55.08
2097,0.89,1599.98,1.18,0.63,51.94
2113,1.4,702.84,0.11,1.58,56.11
2129,0.86,414.47,1.59,1.01,54.14
2145,1.22,306.08,0.99,1.22,57.79
2161,1.14,1790.55,1.11,0.83,52.77
2177,1.09,1768.35,0.95,0.66,53.45
2305,0.98,972.93,0.51,0.79,52.34
2321,0.96,718.35,1.09,1.02,53.96
2337,0.88,1162.12,1.31,0.91,51.62
2353,1.38,237.15,1.07,1.31,58.86
2369,1.67,421.75,1.08,1.59,59.17
2385,0.95,240.79,0.75,1.13,56.94
2401,1.1,274.21,1.44,1.25,57.63
2417,1.22,2094.51,1.35,0.78,50.27
2433,1.14,2100.19,1.14,0.68,51.36
2561,0.96,720.44,1.32,0.94,54.75
2577,0.96,611.87,1.13,1.01,53.4
2593,0.99,1737.42,0.67,0.63,51.11
2625,0.88,768.87,0.85,0.81,52.18
2657,0.83,1125.44,1.15,0.96,50.92
2689,1.08,185.98,0.48,0.97,62.04
2817,1.09,843.41,1.02,0.79,54.35
2833,1.03,291.47,0.18,1.36,56.44
2849,0.85,1305.76,0.82,0.74,51.77
2865,0.88,1258.9,1.06,0.78,52.56
2881,0.65,223.55,0.71,0.95,53.61
2897,1.06,585.63,0.82,1.23,54.47
2913,1.04,379.94,1.64,1.15,56.53
2945,1.13,312.94,0.53,1.23,58.5
3073,0.85,211.26,1.17,0.9,55.1
3089,1.66,222.74,1.59,1.42,58.24
3105,0.84,296.35,0.77,0.8,53.71
3121,0.78,293.38,2.27,0.89,54.72
3137,1.07,1368.3,0.91,0.95,51.54
3153,0.88,964.39,0.8,1.13,54.12
3169,1.12,200.32,1.1,1.26,56.47
3201,1.04,368.7,0.56,1.19,55.83
3329,1.68,218.69,1.09,1.41,58.83
3345,1.21,292.59,1.19,1.3,57.73
3361,1.12,594.43,1.06,1.13,54.92
3377,0.63,704.74,2.18,0.64,51.6
3393,1.15,414.51,0.14,1.92,54.32
3409,0.91,230.89,0.13,1.41,55.76
3425,0.91,1529.32,1.1,0.77,50.34
3457,1.06,509.62,0.78,0.91,53.74
3585,1.13,819.95,0.75,1.03,54.42
3601,1.73,290.5,0.81,1.49,58.84
3617,0.96,514.14,0.12,1.77,51.2
3633,1.02,1094.05,1.04,0.8,54.04
3649,1.19,1907.94,1.75,0.86,49.45
3665,1,783.14,1,1.05,53.13
3681,1.03,1893.79,1.32,0.76,48.98
3713,1,803.66,0.62,1.02,52.99
3841,1.15,206.68,0.11,1.62,54.41
3857,1,1032.9,0.69,0.99,52.58
3873,1.05,1179.13,1.04,0.99,54.85
3889,0.63,839.34,2.34,0.61,51.19
3905,0.99,1604.39,0.84,0.79,50.04
3921,0.78,1176.71,1.01,0.91,51.77
3937,0.99,2035.02,0.78,0.57,53.47
3969,0.96,1011.56,0.56,1.08,52.06
4097,0.93,1315.48,0.02,0.66,51.11
4113,0.88,821.78,1.44,0.95,52.6
4129,1.05,874.8,0.08,1.4,52.12
4145,0.96,1811.03,1.27,0.66,48.9
4161,1.07,584.29,0.1,1.96,52.09
4193,0.85,1508.15,0.65,0.49,52.47
4225,1.02,1475.58,0.57,1.11,51.14
4353,0.81,996.48,1.47,0.84,52.62
4369,0.86,283.79,1.72,0.87,55.38
4385,0.89,1252.78,1.12,0.9,52.7
4401,1.22,302.69,1.03,1.33,57.79
4417,1.02,490.92,1.12,0.98,53.72
4433,0.87,1605.08,0.97,0.7,51.21
4449,0.93,330.63,0.66,0.91,53.8
4481,1.08,1869.48,0.55,1.06,50.79
4609,1.33,229.08,0.93,1.52,57.88
4625,0.93,362.14,0.16,1.63,53.2
4641,0.9,349.51,0.14,1.42,52.84
4657,0.98,472.87,1.34,1.05,53.22
4673,1.03,919.93,0.08,1.37,52.1
4689,0.92,721.53,0.7,1.09,53.21
4705,0.93,272.75,0.67,0.84,57.41
4737,1.16,2237.14,0.64,1.02,49.55
4865,1.11,611.7,0.1,1.65,53.14
4881,0.97,231.01,1.55,0.94,56.57
4897,1.19,269.69,1.25,1.09,56.93
4913,0.63,454.63,2.35,0.61,52.28
4929,0.72,861.53,2.2,0.62,51.55
4945,0.78,307.47,0.72,1.21,54.41
4961,0.89,1324.73,0.78,0.68,54.1
5121,1.48,256.08,0.35,1.3,58.52
5137,0.85,1221.38,0.91,0.88,51.16
5153,0.65,226.37,2.14,0.77,55.12
5169,0.94,676.8,1.43,0.98,52.96
5185,0.61,597.77,1.93,0.62,51.62
5201,1.45,256,1.01,1.34,58.2
5217,1.03,1166.85,0.98,0.73,56.4
5377,0.96,1357.94,1,0.81,52.98
5393,0.57,351.45,2.3,0.62,53.42
5409,0.77,364,1.85,0.83,53.67
5425,0.89,1814.09,1.31,0.62,49.56
5457,0.94,883.43,1.57,1.02,52.91
5473,1.17,920.77,0.83,0.72,55.76
5633,1.08,1024.04,0.07,1.22,52.3
5649,1.1,641.14,0.11,1.51,52.95
5665,1.22,216.3,1.39,1.29,57.73
5697,0.98,1411.88,1.31,0.82,50.3
5713,0.89,1544.65,1.12,0.81,50.99
5729,1.46,804.44,1.21,0.92,56.76
5889,0.99,1060.6,0.78,0.82,54.16
5905,0.93,333.57,0.14,1.43,52.77
5921,0.85,1111.2,1.39,0.99,52.3
5937,0.68,1400,2.15,0.63,51.27
5953,0.89,196.36,0.73,1.46,58.46
5969,0.78,1101.47,1.17,0.88,52.5
5985,1.42,233.64,0.83,1.05,58.57
6145,0.94,1922.78,1.08,0.72,50.32
6161,0.84,322.12,2.3,1,56.79
6177,1.88,283.67,1.06,1.47,57.38
6209,1.07,1986.81,0.96,0.75,48.74
6225,0.93,1916.16,1.06,0.67,49.1
6401,1.3,328.72,0.7,1.36,56.76
6417,0.79,387.88,1.42,0.87,52.74
6433,1.31,316.04,1.02,1.11,57.75
6465,0.59,486.77,1.81,0.58,51.89
6481,0.81,293.82,1.57,0.96,55.08
6657,0.88,834.47,1.39,0.96,53.82
6673,1.29,358.15,0.82,1.32,57.98
6721,1.12,615.7,0.82,0.97,54.01
6913,1.3,492.38,0.85,1.28,56.82
6929,0.9,1826.51,0.86,0.66,51.12
6945,1.11,566.18,0.91,1.26,54.9
6977,0.83,979.04,0.88,0.91,51.83
6993,1.23,281.53,0.82,1.07,56.7
7169,0.9,1835.48,1.19,0.63,50.08
7185,0.88,658.26,1.16,0.86,52.96
7201,1.01,791.06,0.83,1.06,54.42
7233,0.89,1105.57,0.06,1.17,50.68
7249,0.97,1880.17,1.31,0.72,49.75
7425,1.1,1482.69,0.52,0.78,51.47
7457,0.95,1376.27,0.04,0.76,51.55
7489,0.91,1298.29,0.05,0.99,50.59
7505,1.19,300.48,1.48,1.1,57.79
7681,1.33,476.89,0.12,2.04,56.46
7697,1.06,1453.91,0.58,0.96,51.38
7713,1.28,487.7,0.98,1.32,57.12
7745,1.72,288.11,0.56,1.59,60.2
7761,1.45,255.95,1.63,1.2,58.48
7937,0.92,1408.47,1.58,0.78,51.45
7953,1.07,1808.64,0.61,0.83,50.91
7969,0.94,1114.11,0.06,0.96,51.62
8017,1.37,320.83,0.62,1.46,56.72
8193,1.19,1963.25,0.63,0.84,52.06
8209,0.65,234.2,1.87,0.86,54.93
8225,0.96,1327.59,0.48,0.92,51.12
8257,1.25,314.59,0.79,1.52,58.58
8273,1.52,253.14,0.89,1.29,58.79
8449,0.95,1565.44,0.03,0.68,49.94
8465,0.8,1055.01,1.22,0.88,52.06
8481,0.85,1622.52,0.04,0.55,48.71
8529,0.98,1357.11,0.6,1.14,52.68
8705,0.96,1762.12,0.04,0.7,49.47
8721,0.89,1460.65,0.04,0.61,49.06
8737,1.05,1740.76,0.46,0.7,52.33
8785,1.05,525.65,0.72,1.53,56.77
8961,0.81,753.17,1.37,0.93,53.52
8977,0.99,1216.02,0.05,0.96,51.12
8993,0.93,1500.94,1.39,0.76,51.02
9041,1.1,396.28,1.15,1.25,55.9
9217,1.08,1401.68,1.09,0.84,54.11
9233,0.9,1668.44,0.04,0.56,48.65
9249,0.99,1004.13,0.75,1.06,53.24
9297,1.09,2064.06,0.52,0.51,48.49
9473,0.62,238.47,2.64,0.69,55.39
9489,0.97,1963.47,0.96,0.54,50.62
9505,0.87,1536.21,1.02,0.7,50.68
9553,0.98,744.79,0.63,1.29,55.42
9729,0.69,393.22,2.4,0.75,54.3
9745,0.91,1570.85,0.97,0.74,51.48
9761,0.61,416.05,2.59,0.66,53.76
9793,1.01,355.37,0.49,1.01,54.93
9809,0.84,674.59,0.4,0.96,51.71
9985,0.93,1206.02,0.8,0.9,50.69
10001,0.58,472.04,2.36,0.56,52.52
10017,0.94,679.59,1.08,1.04,53.97
10049,1.24,646.05,0.73,1.29,54.59
10065,1.06,1140.2,0.63,1.24,55.88
10241,0.98,995.66,0.77,1.08,53.21
10257,0.91,1513.3,1.3,0.74,50.91
10273,1.07,410.86,1.21,1.3,56.36
10497,1.1,860.31,0.69,0.72,54.95
10513,0.85,1192.55,1.12,0.86,51.33
10529,1.22,617.36,1.42,1.34,55.8
10577,1.28,188.86,0.21,1.31,57.89
10753,0.91,1610.97,0.88,0.71,52.68
10769,0.92,1053,0.9,1.04,53.59
10785,0.95,1936.61,1.23,0.71,49.89
10817,0.84,934.4,0.62,0.94,51.39
10833,0.85,321.35,0.09,1.6,53.38
11009,0.81,1170.84,0.76,0.77,52.59
11025,0.93,979.66,0.44,0.86,49.79
11041,0.87,935.48,0.87,1.03,52.33
11073,0.93,1571.91,0.89,0.84,50.75
11089,1.15,615.18,0.11,1.47,55.63
11265,1,796.94,0.83,0.83,54.52
11281,1.25,484.35,0.78,1.37,56.07
11297,0.96,1361.46,0.48,0.92,51.42
11345,0.83,896.21,0.06,1.34,51.44
11521,0.89,1536.02,1.09,0.72,51
11537,1.07,1464.57,0.72,0.92,51.46
11553,1.08,839.32,1.25,1.16,54.46
11585,0.86,686.74,0.6,0.93,50.75
11601,0.87,1480.84,0.03,0.68,50.6
11777,1.14,610.66,0.8,1.1,54.65
11793,1.05,855.28,0.56,1.1,51.06
11809,0.91,915.1,1.54,0.96,54.16
11841,1.05,1709.32,0.06,1.02,50
11857,0.98,757.5,0.16,1.71,53.72
12033,0.94,1508.06,0.76,0.81,49.91
12049,1.06,2095.79,0.62,0.5,50.04
12097,0.91,1261.32,0.73,0.92,50.15
12113,0.84,1161.3,0.03,0.7,50.58
12289,1,677.7,1.8,0.97,54.55
12305,0.96,1879.77,1.33,0.72,49.24
12369,0.83,1732.4,0.03,0.68,49.79
12545,0.94,917.2,1.54,0.79,53.31
12561,1.09,240.42,2.75,1.16,56.53
12577,1.13,542.48,1.75,0.92,59.39
12817,1.09,177.2,1.41,1.17,59.99
12881,1.02,515.73,1.33,0.94,55.14
13073,0.95,254.28,1.48,1.26,58.35
13089,1.03,2103.38,0.77,0.57,49.43
13121,1.19,302.28,0.92,1.48,58.33
13137,0.97,1603.63,0.56,0.78,50.11
13313,0.94,1199,1.27,0.86,52.08
13329,0.96,332.13,0.9,1.1,54.75
13345,0.88,1160.99,0.98,0.98,52.18
13393,1.06,586.73,0.5,1.37,54.4
13569,1.1,2161.87,0.76,0.7,49.1
13585,0.97,328.17,1.35,1.1,56.86
13825,0.99,1813.69,1.42,0.79,49.14
13841,0.82,1123.47,1.14,0.96,50.59
13857,1.08,2198.64,0.73,0.54,51.15
13889,1.19,2227.95,0.81,0.71,49.86
13905,0.92,1779.06,0.41,0.31,45.31
14097,0.96,702.59,1.49,1.06,54.04
14113,0.98,1871.71,1.33,0.74,49.09
14145,0.64,436.45,2.55,0.71,53.9
14161,0.92,914.98,0.87,1.09,51.15
14337,1.06,2047.09,0.87,0.7,50.19
14353,0.56,629.14,1.89,0.58,50.64
14401,0.88,1441.78,0.04,0.88,50.19
14417,0.99,786.78,0.87,1.15,52.4
14609,0.99,1864.67,1.38,0.86,48.28
14625,0.96,1185.84,1.23,0.97,51.84
14657,0.94,376.58,0.11,1.44,53.78
14673,1.02,1397.37,0.77,1,51.42
14865,0.89,1483.5,1.21,0.84,50.25
14881,1.13,2109.22,0.83,0.66,49.47
14913,0.91,375.6,0.82,1.06,55.39
14929,1.03,1882.27,1.43,0.8,49.6
15105,1.19,287.01,1.19,1.43,57.18
15121,1,147.9,0.16,0.98,58.86
15137,0.52,447.8,2.03,0.55,52.3
15169,1.25,209.2,0.7,1.8,59.93
15361,1.28,221.96,1.12,1.52,59.62
15377,0.81,1181.92,0.04,0.59,50.21
15393,1.09,1641.52,0.94,0.76,51.38
15425,1.01,1885.82,1.33,0.84,49.34
15617,1.06,1907.95,1.46,0.84,49.59
15633,1.06,416.51,0.1,1.52,54.67
15649,0.63,684.78,2.26,0.62,51.74
15681,0.98,1611.2,1.28,0.83,51.4
15873,0.86,300.28,1.39,1.16,55.67
15889,0.93,711.14,1.28,0.99,52.2
15905,0.98,1871.71,1.33,0.74,49.09
15937,1.31,218.92,0.82,1.84,59.96
16129,0.83,942.48,0.04,0.72,52.01
16145,1.04,579.08,0.65,0.98,51.8
16161,0.9,1529.67,0.04,0.74,51.04
16385,0.94,532.99,0.08,1.05,52.93
16401,1.05,1779.07,0.54,0.83,50.48
16417,0.96,785.88,0.07,1.15,53.17
16641,0.55,418.09,2.8,0.66,53.22
16657,1.16,1569.34,0.49,0.98,51.77
16673,0.66,587.47,2.18,0.75,53.34
16897,1.06,1907.95,1.46,0.84,49.59
16913,1.31,2244.89,0.47,0.75,49.28
17153,1.06,1857.04,1.39,0.78,50.05
17169,1.17,273.2,1.11,0.93,57.5
17425,0.93,365.78,1.2,0.92,55.58
17473,0.89,982.99,2.04,0.88,54.28
17665,1,1518.95,1.35,0.85,52.98
17937,1.25,432.62,0.77,1.12,56.09
17953,0.77,811.04,2.42,0.74,52.69
18177,0.72,995.83,2.22,0.66,52.07
18193,0.98,482.39,1.18,0.93,53.85
18209,0.63,926.02,1.88,0.55,50.97
18433,0.73,782.11,2.53,0.77,53.61
18449,0.68,927.53,2.35,0.68,51.46
18465,0.9,228.7,0.11,1.58,56.79
18689,1.2,637.75,1.21,1.03,56.64
18721,0.98,384.68,0.12,1.33,55.3
18961,0.74,855.2,1.86,0.71,52.38
18977,1.82,299.69,0.94,1.51,58.65
19217,1.18,2211.06,0.63,0.63,49.93
19233,1.37,216.63,0.19,1.35,56.29
19473,1.08,2188.79,1.08,0.55,54.15
19489,0.82,1168.93,0.45,1.57,49.52
19729,0.96,1391.59,0.77,0.64,55.8
19985,0.68,1400,2.15,0.63,51.27
20241,0.83,981.92,2,0.79,53.59
38657,1.01,1369.06,0.69,0.98,51.12
38721,1.01,1369.06,0.69,0.98,51.12
38753,0.88,1162.12,1.31,0.91,51.62
38913,0.88,1162.12,1.31,0.91,51.62
38929,0.88,1162.12,1.31,0.91,51.62
38945,0.88,1162.12,1.31,0.91,51.62
38977,0.68,1100,2.15,0.63,51.27
39009,0.95,928.14,1.46,0.99,53.53
39265,1.03,1882.27,1.43,0.8,49.6
39441,1,1106.68,1.02,0.92,54.23
39489,1.13,653.26,0.1,1.47,54.02
39681,1.04,832.3,0.92,0.88,53.91
39697,1.18,605.39,0.81,1.33,54.63
39713,1.18,605.39,0.81,1.33,54.63
39745,1.18,605.39,0.81,1.33,54.63
39937,1.05,1053.92,0.84,1.1,52.86
39953,1.05,1053.92,0.84,1.1,52.86
40001,0.69,393.22,2.4,0.75,54.3
40193,0.92,1283.61,1.07,0.81,52.12
40209,0.95,928.14,1.46,0.99,53.53
40225,1,1106.68,1.02,0.92,54.23
40257,1.03,1882.27,1.43,0.8,49.6
40449,0.92,329.26,1.75,1.11,55.86
40465,1.01,1369.06,0.69,0.98,51.12
40481,1.02,513.45,1.41,1.05,54.45
40705,0.95,1918.96,1.08,0.64,49.34
40721,0.95,1918.96,1.08,0.64,49.34
40961,1.69,223.29,1.42,1.4,58.15
40977,1.69,223.29,1.42,1.4,58.15
40993,1.69,223.29,1.42,1.4,58.15
41009,1.69,223.29,1.42,1.4,58.15
41025,1.69,223.29,1.42,1.4,58.15
41041,1.83,232.98,0.91,1.16,58.3
41057,1.69,223.29,1.42,1.4,58.15
41217,1.4,240.21,1.63,1.51,58
41233,1.4,240.21,1.63,1.51,58
41249,1.48,251.45,1.23,1.27,57.78
41297,1.48,251.45,1.23,1.27,57.78
48641,1.07,1584.14,1.02,0.62,56.55
48897,0.88,1162.12,1.31,0.91,51.62
49409,1.2,1551.2,1.1,1.18,59.24
49425,1.01,1369.06,0.69,0.98,51.12
49665,1.09,1633.6,1.02,0.75,57.06
49681,1,1106.68,1.02,0.92,54.23
49921,1.05,1098.22,1.16,0.46,55.68
49937,0.83,1180.15,1.23,1.15,50.98
50193,1.14,1591.8,0.6,0.78,52.25
50433,0.95,1918.96,1.08,0.64,49.34
50449,1,745.25,1.45,1,53.92
50689,1.12,2153.4,0.71,0.64,49.22
